_exp_beta,_top_percent,pop_count,_n,_height,_width
3,1,100,5,382,382
POPULACJA,b_cost_0,b_cost_1,
0,-1,-1,-1
0,-1,-1,-1
0,-1,-1,-1
0,-1,-1,-1
0,-1,-1,-1
0,-1,-1,-1
0,-1,-1,-1
0,-1,-1,-1
1,39286220.507554352,-1,-1
2,39286220.507554352,39286220.507554352,-1
2,39286220.507554352,39286220.507554352,-1
3,39286220.507554352,39286220.507554352,39286220.507554352
3,39286220.507554352,39286220.507554352,39286220.507554352
4,35892906.526984632,39286220.507554352,39286220.507554352
4,35892906.526984632,39286220.507554352,39286220.507554352
5,35390733.487474322,35892906.526984632,39286220.507554352
6,35390733.487474322,35390733.487474322,35892906.526984632
7,35390733.487474322,35390733.487474322,35390733.487474322
8,33368810.318666194,35390733.487474322,35390733.487474322
9,33368810.318666194,33368810.318666194,35390733.487474322
10,33368810.318666194,33368810.318666194,33368810.318666194
11,33368810.318666194,33368810.318666194,33368810.318666194
12,33368810.318666194,33368810.318666194,33368810.318666194
13,33368810.318666194,33368810.318666194,33368810.318666194
13,33368810.318666194,33368810.318666194,33368810.318666194
14,33368810.318666194,33368810.318666194,33368810.318666194
15,33368810.318666194,33368810.318666194,33368810.318666194
16,33368810.318666194,33368810.318666194,33368810.318666194
17,33368810.318666194,33368810.318666194,33368810.318666194
18,33368810.318666194,33368810.318666194,33368810.318666194
19,33368810.318666194,33368810.318666194,33368810.318666194
20,33368810.318666194,33368810.318666194,33368810.318666194
21,33137495.3648922,33368810.318666194,33368810.318666194
22,31681669.594198897,33137495.3648922,33368810.318666194
22,31681669.594198897,33137495.3648922,33368810.318666194
